datetime,GPP_U05_f,GPP_U50_f,GPP_U95_f
2014-01-31,303.10480864357964,302.7930685529851,293.92250217722216
2014-02-28,239.09611098079048,250.83737820262246,252.27261852049915
2014-03-31,265.0655423436424,269.05815993564204,272.32061787909345
2014-04-30,320.72713703423284,334.8075418226573,383.408196944373
2014-05-31,309.23115009831884,353.57294245954245,405.4200160516137
2014-06-30,240.35765822917043,256.0908078404375,260.3260379896851
2014-07-31,159.49086910324075,170.7561170807785,173.2116034509323
2014-08-31,172.9219794112746,184.25585761039585,203.31105466382198
2014-09-30,167.41595830535087,177.57040004843498,195.9021511388284
2014-10-31,244.05717343157397,255.3330387250557,259.4340222127607
2014-11-30,194.8050197801404,192.8391489897405,201.04176676936382
2014-12-31,253.37097936994584,271.69264825695245,287.28466690970237
2015-01-31,239.16306028354057,243.4937726434648,251.2016709351966
2015-02-28,224.74775168694615,229.12132528362403,245.36653396077725
2015-03-31,287.1168368268525,297.9566744307753,310.86039001247536
2015-04-30,240.46209364019592,245.91825607995904,248.61400740917918
2015-05-31,253.38977431287603,261.4165402088228,257.21296839121374
2015-06-30,146.0299838422057,141.17972786266859,151.8832990616579
2015-07-31,155.12238143322259,162.28211881742095,171.7509295185649
2015-08-31,160.44672631217213,169.92360514899144,155.6210579007722
2015-09-30,148.86979042860736,152.64504875477388,162.7365048090481
2015-10-31,206.36000737277408,209.2877622228497,226.22331560438164
2015-11-30,169.7948431795274,173.46755522083183,183.57377176350613
2015-12-31,186.7232159943699,193.0104011560309,211.394172952057
2016-01-31,179.69583851586248,184.95374815753053,193.9412623061716
2016-02-29,226.23497607368583,234.68715928508868,243.05531282854645
2016-03-31,286.3772476107883,301.22751568202375,326.25824895418947
2016-04-30,255.00966722167325,266.79156376063867,285.288328062265
2016-05-31,223.19572181806015,260.4523940770596,372.1934504136084
2016-06-30,162.14535930171868,179.8892380632774,216.71423268845672
2016-07-31,171.8764561796985,185.6439885118518,189.97209731274282
2016-08-31,170.51628106181275,187.26321283857013,220.3981552243868
2016-09-30,219.95209687726262,235.3159537720193,263.2659448287532
2016-10-31,197.3794091583573,211.3377579275378,218.53274303335152
2016-11-30,214.68375523612414,219.74119630005063,224.8377659024604
2016-12-31,257.8834358877741,266.4508157851625,270.61783790214616
2017-01-31,242.94384421178074,246.4369101593474,267.9970806959282
2017-02-28,238.95297172024726,255.83098250663545,254.9138808336264
2017-03-31,305.7699507471446,312.36267183180377,339.3197055093333
2017-04-30,282.32894836384486,308.6241404470628,403.2636599570572
2017-05-31,239.30941750247382,304.64310080326453,375.7945732200672
2017-06-30,166.5330454663249,189.04072633691158,198.69605669934242
2017-07-31,209.0383348368241,225.028513534671,221.807775328137
2017-08-31,266.6612391259345,282.8356484137191,306.39565881752446
2017-09-30,296.0406777784525,319.16836608348035,366.4258812756789
2017-10-31,325.0827915045394,328.9463428613961,336.3933679117296
2017-11-30,297.36565329284264,310.9689088614132,338.84208503656447
2017-12-31,339.7444191301769,358.58871760510857,407.094556850208
2018-01-31,205.0471943152075,208.98218515893453,216.85504268837772
2018-02-28,197.0738507509811,203.00058886382396,209.45288381869244
2018-03-31,275.6331521794561,291.17004211275383,290.6359147632477
2018-04-30,251.1684187884971,274.8506951071204,289.7659149795895
2018-05-31,190.5989473630212,207.39264792042889,217.40782074800782
2018-06-30,201.1282724725898,228.89426744748943,231.7451702625969
2018-07-31,175.79297740786942,195.01668773114937,229.2978131585725
2018-08-31,200.51942990155098,203.14621884606925,204.97207946869233
2018-09-30,182.5678015482243,191.73121215427886,197.57895974650918
2018-10-31,259.95167991071287,284.7628959265436,309.5813006199301
2018-11-30,295.79966365325777,372.0551614321356,423.14863818087576
2018-12-31,314.7021173281628,338.6686684397779,353.53207203988103
2019-01-31,280.53000119194587,297.81145854921726,312.60179735871554
2019-02-28,269.9855377576072,282.479600163953,293.93393594922475
2019-03-31,329.85637131251235,342.9653636289415,363.7986085142465
2019-04-30,229.1701132846569,256.7033443187301,278.28337531217187
2019-05-31,218.24545372734138,228.4326677853009,257.42422455499735
2019-06-30,167.04433450736468,188.48605042036462,220.61658495702218
2019-07-31,227.43353560402733,245.1130464448043,269.03020482732137
2019-08-31,181.34346353879036,192.69538168827344,235.60591675063125
2019-09-30,197.69052197746836,209.75316013643302,231.50885481188908
2019-10-31,275.8541079482866,275.92892758984334,282.76195315733924
2019-11-30,278.67955684992677,298.3337078328545,305.62708656379834
2019-12-31,261.5937033964558,275.9077372478124,313.858015123533
